catchment_id,1990-1,1990-2,1990-3,1990-4,1990-10,1990-11,1990-12,1990-18,1990-20,1990-21,1990-23,1990-24,1990-25,1990-26,1990-41
100061,0,0.2698,0.0352,0,0,0,0,0.1486,0.0202,0.0352,0.145,0.0932,0.2527,0,0
100086,0,0.0783,0.005,0,0,0.0038,0.0206,0.4081,0.1035,0.0566,0.0429,0.104,0.1547,0,0.0227
100068,0,0.2137,0.0184,0,0,0,0,0.3094,0.0633,0.0099,0.0225,0.0287,0.3341,0,0
100085,0.0019,0.1974,0.0283,1e-4,0.0033,0.004,0.0202,0.3168,0.0878,0.0561,0.066,0.0788,0.1191,0.0032,0.017
159783,0,0.1037,0.0031,0,0.0104,0,0.0225,0.3614,0.0495,0.0196,0.052,0.0692,0.2817,0,0.027
100044,0,0,0,0,0,0,0,0.75,0,0,0,0.095,0.155,0,0
100050,0,0.055,3e-4,0,0,0.0065,0.0055,0.4954,0.0529,0.0612,0.0123,0.1168,0.1688,0,0.0253
100051,0,0,0,0,0,0,0.0369,0.4163,0.1158,0.17,0,0,0.2611,0,0
100057,0.0013,0.1496,0.0203,0,8e-4,0.0044,0.0224,0.3496,0.0955,0.0565,0.0606,0.0871,0.1296,0.0036,0.0188
100063,0.0039,0.2347,0.025,0,0.0029,0.0032,0.0251,0.2453,0.1069,0.0463,0.1014,0.0626,0.1298,0.0021,0.0109
100064,0,0.1285,0.0131,6e-4,0.013,1e-4,0.0303,0.3337,0.0486,0.0181,0.052,0.0734,0.2638,0,0.0249
100072,0,0,0,0,0,0,0.0071,0.5378,0,0.0054,0.0212,0.0523,0.3762,0,0
