catchment_id,2012-1,2012-2,2012-3,2012-4,2012-8,2012-10,2012-11,2012-12,2012-16,2012-18,2012-20,2012-21,2012-23,2012-24,2012-25,2012-26,2012-29,2012-41
100061,0.0016,0.2729,0.0746,0,0,0,0,0.0145,0,0.131,0,0,0.3123,0.0544,0.1243,0,0.0145,0
100086,0.0025,0.0888,0.0224,0,0,0,0.0095,0.0244,0,0.5108,0.0016,0.0047,0.1312,0.1153,0.0411,0,0.0203,0.0273
100068,0,0.2155,0.0319,0,0,0,0,0,0,0.3875,0,0,0.3256,0.0112,0.0283,0,0,0
100085,0.0262,0.171,0.0548,0,0,0.0095,0.0115,0.021,0,0.4097,0.0012,0.0035,0.1315,0.0868,0.0341,0.0034,0.0152,0.0205
159783,0,0.1297,0.0063,0,0,0.0042,8e-4,0.0177,0.0018,0.412,0.0023,0,0.2696,0.1031,0.0231,0,0,0.0293
100044,0,0,0.0175,0,0,0,0,0,0,0.7275,0,0,0,0.25,0.005,0,0,0
100050,0,0.0623,0.0172,0,0,0,0.0101,0.0107,0,0.5633,0,0.0081,0.0766,0.1655,0.0354,0,0.0203,0.0304
100051,0,0.0345,0,0,0,0,0,0.0345,0,0.6379,0,0,0.1626,0.0222,0.1084,0,0,0
100057,0.0178,0.1326,0.048,0,0,0.0044,0.0099,0.0232,0,0.4481,0.0013,0.0039,0.1364,0.096,0.0352,0.0038,0.0168,0.0226
100063,0.0208,0.2228,0.0511,0,4e-4,0.0071,0.0089,0.029,7e-4,0.3391,0.0016,0.0029,0.1776,0.0637,0.0472,0.0022,0.0113,0.0135
100064,0,0.1533,0.019,4e-4,0,0.0063,0.0057,0.0167,0.0017,0.3829,0.0021,0,0.2642,0.0993,0.0213,0,0,0.0271
100072,0,0,0.0071,0,0,0,0,0,0,0.5504,0,0,0.21560000000000001,0.2128,0.0142,0,0,0
