gauge_id,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2006-13,2006-14,2006-15,2006-16,2006-17,2006-18,2006-19,2006-20,2006-21,2006-22,2006-23,2006-24,2006-25,2006-26,2006-27,2006-28,2006-29,2006-30,2006-31,2006-32,2006-33,2006-34,2006-35,2006-36,2006-37,2006-38,2006-39,2006-40,2006-41,2006-42,2006-43,2006-44,2006-48
10002,0,0.0105,0,0,0,0.0037,0,0,0,0,0.0015,0.4104,0,0,0,0,0,0.424,0,0,0.0011,0,0.0039,0.0535,0.0098,0.0046,0.0168,0,0.0042,0,0,0,0,0,0,0.0561,0,0,0,0,0,0,0,0,0
10003,0,0.0042,0,0,0,0,0,0,0,0,0.0056,0.5882,0,0,0,0,0,0.3433,0,0,0,0,0.0088,0.0322,0.0036,0.0053,0.0041,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,0,0.0017,0,0,0,0,0.0027,0,0,0,0,0.0395,0,0,0,0,0,0.3013,0,0,0.0208,0,0,0.1146,0,0.0762,0.0276,0,0.0175,0,0,0,0,0,0,0.3653,0,0,0,0,0.0329,0,0,0,0
101002,0,0.0134,0,0,0,0,0.0085,0,0,0,0,0.5838,0,0,0,0,0,0.3726,0,0,0,0,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101005,0,0.0428,0,0,0,0,0,0,0,0,0,0.5486,0,0,0,0,0,0.4086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102001,0,0,0,0,0,0.0043,0,0,0,0,0,0.0152,0,0,0,0,0,0.9805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0.0053,0,0.1016,0,0,0,0,0,0,0.8559,0,0,0,0,0.0321,0,0,0,0
107001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1917,0,0,0,0,0,0,0,0.0036,0.2766,0,0,0,0,0,0,0,0,0.5282,0,0,0,0,0,0,0,0,0
11001,0,0.0092,0.0011,0,0,1e-4,6e-4,0,0,0,0.0031,0.264,0,0,0,0,0,0.2994,0,0,6e-4,0,0.0138,0.1347,0.0105,0.0198,0.1971,0,0.0228,0,0,0.0024,0,0,0,0.0209,0,0,0,0,0,0,0,0,0
11003,0,0,0,0,0,0,0,0,0,0,0.0012,0.0683,0,0,0,0,0,0.2428,0,0,0,0,0.008,0.1444,0.0074,0.033,0.4165,0,0.0204,0,0,0.006,0,0,0,0.0521,0,0,0,0,0,0,0,0,0
11004,0,0.0047,0,0,0,0,0,0,0,0,0.0022,0.3945,0,0,0,0,0,0.3656,0,0,0.0036,0,0.0148,0.1207,0.0049,0.0157,0.0436,0,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12001,0,0.0026,0,0,0,0,0,0,0,0,0.0023,0.0205,2e-4,0,0,0,0,0.08,0,0,0,0,0.0147,0.1427,0.0058,0.0472,0.4922,0,0.0077,0,0,0.0652,3e-4,0,0,0.1156,0,0,0,0,0.0029,0,0,0,0
12002,0,0.0038,2e-4,0,0,0,2e-4,0,2e-4,0,0.0026,0.0388,2e-4,0,0,0,0,0.1028,0,0,0.0013,0,0.0118,0.1765,0.0088,0.0436,0.4511,0,0.007,0,0,0.0491,3e-4,0,0,0.0998,0,0,0,0,0.0022,0,0,0,0
12005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168,0,0,0,0,0,0.0857,0,0.1111,0.5449,0,0.0059,0,0,0.0171,0,0,0,0.1979,0,0,0,0,0.0207,0,0,0,0
12006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181,0,0,0,0,0.0185,0.0086,0.0023,0.0541,0.7063,0,0,0,0,0.0749,0,0,0,0.1171,0,0,0,0,0,0,0,0,0
12007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0.0197,0,0.0069,0.4579,0,0.0072,0,0,0.1766,0,0,0,0.3263,0,0,0,0,0.0011,0,0,0,0
12008,0,0,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0,0,0.0804,0,0,0,0,0,0.1969,0,0.0326,0.571,0,0,0,0,0,0,0,0,0.0993,0,0,0,0,0,0,0,0,0
12009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8326,0,0,0,0,0,0,0,0,0.1674,0,0,0,0,0,0,0,0,0
13001,0,0,0,0,0,0,0,0,0,0,0,0.5117,0,0,0,0,0,0.2799,0,0,0,0,0.0144,0.0983,0.0054,0.0079,0.0274,0,0.0542,0,0,0,0,0,0,9e-4,0,0,0,0,0,0,0,0,0
13004,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0,0,0,0,0.0945,0,0,0,0,0.0039,0.1263,0.0026,0.0571,0.6794,0,0.0215,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,0
13005,0,0.0091,0,0,0,0,5e-4,0.0043,0,0,0.0034,0.7883,0,0,0,0,0,0.1186,0,0,0,0,0.0109,0.0298,0.0209,0.0072,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0
13007,0,0.0021,9e-4,0,0,0.0026,3e-4,0,0,0,0.0019,0.2521,0,0,0,0,0,0.0874,0,0,0,0,0.0025,0.0507,0.0089,0.0753,0.4405,0,9e-4,0,0,8e-4,0.0028,0,0,0.0689,0,0,0,0,0.0013,0,0,0,0
13008,0,0.0025,5e-4,0,0,0,0,0,0,0,0.0023,0.2341,0,0,0,0,0,0.1237,0,0,0.0017,0,0.0048,0.0732,0.0138,0.0874,0.4208,0,0.0079,0,6e-4,0.0014,0.001,0,0,0.0238,0,0,0,0,6e-4,0,0,0,0
14001,0,0.0211,0,0,0,0,0.0048,0,0,0,0.0045,0.5817,0,0,0,0,0,0.2469,0,0,0,0,0.0099,0.0592,0.0168,0.0293,0.0235,0,0.0015,0,0,0,0,0,0,1e-4,0,0,0,0,8e-4,0,0,0,0
14002,0,0.1093,0.0181,0,0,0,0,0,0,0.0113,0.0214,0.5438,0,0,0,0,0,0.1514,0,0,0,0,0.008,0.0282,0.0033,0.0711,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0
14005,0,0.0048,0,0,0,0,0.0053,0,0,0,0.0074,0.6399,0,0,0,0,0,0.2589,0,0,0,0,0,0.0156,0.0264,0.0418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15006,0,0.0039,3e-4,0,0,0,1e-4,0,0,2e-4,0.0024,0.0822,0,0,0,1e-4,0,0.0806,0,1e-4,7e-4,0,0.0203,0.1149,0.009,0.1608,0.2786,0,0.0196,0,8e-4,0.0222,3e-4,0,2e-4,0.1777,0,0,0,7e-4,0.0245,0,0,0,0
15007,0,0.0016,0,0,0,0,0,0,0,0,0.0013,0.0035,0,0,0,0,0,0.0726,0,0,0.0018,0,0.0221,0.1106,0.0044,0.3191,0.2043,0,0.0214,0,3e-4,0.0411,6e-4,0,0,0.1638,0,0,0,0,0.0316,0,0,0,0
15010,0,0.0021,0.0024,0,0,0,0,0,0,0,0.0029,0.1235,0,0,0,7e-4,0,0.1649,0,7e-4,0.0037,0,0.0105,0.1259,0.0062,0.209,0.3053,0,0.0124,0,0,0.0022,0,0,5e-4,0.0172,0,0,0,0,0.0099,0,0,0,0
15011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509,0,0,0,0,0.0097,0.0474,0.0044,0.3631,0.2013,0,0.0233,0,8e-4,0.0533,0,0,0,0.2265,0,0,0,0,0.0193,0,0,0,0
15012,0,0.0017,0,0,0,0,2e-4,0,0,0,0.0022,2e-4,0,0,0,0,0,0.0281,0,0,0,0,0.0213,0.1146,0.0024,0.076,0.2973,0,0.0303,0,0.0019,0.0314,0,0,0,0.3535,0,0,0,0,0.0389,0,0,0,0
15013,0,0.0015,3e-4,0,0,0,0.001,0,0,0,0.0016,0.0092,0,0,0,0,0,0.1618,0,0,0,0,0.0209,0.0507,0.0142,0.2345,0.3567,0,0.0042,0,0,0.0041,0,0,0,0.1395,0,0,0,0,0,0,0,0,0
15014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493,0,0,0,0,0,0.077,0,0.2386,0.493,0,0.0042,0,0,0.0039,0,0,0,0.134,0,0,0,0,0,0,0,0,0
15016,0,0.0015,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0.0611,0,0,0.0015,0,0.0248,0.0954,0.003,0.36,0.1737,0,0.0209,0,0,0.0442,0,0,0,0.1652,0,0,0,0,0.0473,0,0,0,0
15021,0,0.016,0,0,0,0,0,0,0,0.0048,0.0167,0.2507,0,0,0,0,0,0.1952,0,0,0,0,0.0714,0.077,0.0108,0.0897,0.2357,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0.0314,0,0,0,0
15023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849,0,0,0,0,0.0074,0.2104,0.0046,0.1332,0.4763,0,0.0058,0,0,6e-4,0.0035,0,0,0.0627,0,0,0,0,0.0105,0,0,0,0
15024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311,0,0,0,0,0.0066,0.1621,0.0017,0.3623,0.1584,0,0.0319,0,0,0.0458,0,0,0,0.1978,0,0,0,0,0.0022,0,0,0,0
15025,0,0,2e-4,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0.1245,0,0,0,0,0.0055,0.0936,0.0061,0.2298,0.4777,0,0.0124,0,0,0.0035,0,0,0,0.0428,0,0,0,0,0,0,0,0,0
15030,0,0.0264,0.0014,0,0,0,9e-4,0,0,0.0013,0.0044,0.6371,0,0,0,0,0,0.1166,0,0,0,0,0.0068,0.048,0.0173,0.0538,0.0815,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0.0017,0,0,0,0
15039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.096,0.4955,0,0,0,0,0.0928,0,0,0,0.3107,0,0,0,0,0.002,0,0,0,0
16001,0,0.0079,9e-4,0,0,0,0,0,0,0,0.0059,0.1131,0,2e-4,0,0,0,0.1412,0,0,4e-4,0,0.0297,0.0754,0.02,0.2302,0.259,0,0.0046,0,0,0.0125,0.001,0,8e-4,0.0742,0,0,0,0,0.023,0,0,0,0
16003,0,0,0.0051,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0.088,0,0,0,0,0.0155,0.0099,8e-4,0.5757,0.1698,0,0,0,0,0.0122,0,0,0,0.1224,0,0,0,0,0,0,0,0,0
16004,0,0.0086,0.0011,0,0,0,0,0,0,0,0.0081,0.1746,0,2e-4,0,0,0,0.1657,0,0,8e-4,0,0.0266,0.0819,0.0203,0.2006,0.2231,0,0.0051,0,0,0.0093,7e-4,0,6e-4,0.0554,0,0,0,0,0.0172,0,0,0,0
17001,0,0.0296,0.0018,0,0,0,0.0079,0,0,0,0,0.0363,0,0,0,0,0,0.2689,0,0,0,0,0.0128,0.2451,0.0116,0.1007,0.1542,0,0.0602,0,0,0,0,0,0,0.0285,0,0,0,0,0.0423,0,0,0,0
17003,0,0.1724,0.0414,0,0,0,0,0,0,0,0.0184,0.0367,0,0,0,0,0,0.3894,0,0,0,0,0.0157,0.0996,0.067,0.0542,0.0151,0,0.0243,0,0,0,0,0,0,0.0658,0,0,0,0,0,0,0,0,0
17004,0,0.0847,0.0212,0,0,0.0021,0.0421,0,0.0022,0.0018,0.0246,0.2727,0,0,0,0,0,0.3776,0,0,0,0,0.0143,0.0749,0.0127,0.0195,0.0062,0,0.0168,0,0,0,0,0,0,0.0092,0,0,0,0,0.0176,0,0,0,0
